"plant_group","taxon","calories","protein"
"carrots","Microsciadium",71,38
"carrots","Asteriscium",64,33
"carrots","Domeykoa",34,15
"carrots","Pozoa",41,22
"carrots","Oschatzia",38,20
"carrots","Homalocarpus",45,25
"carrots","Drusa",60,35
"carrots","Diposis",87,53
"carrots","Mulinum",64,33
"carrots","Gymnophyton",65,34
"carrots","Diplaspis",74,43
"carrots","Dichosciadium",71,38
"carrots","Dickinsia",72,38
"carrots","Azorella",80,48
"carrots","Klotzschia",128,83
"carrots","Bolax",112,68
"carrots","Spananthe",113,68
"carrots","Eremocharis",122,78
"carrots","Bowlesia",112,68
"carrots","Schoenolaena",45,13
"carrots","Pentapeltis",45,13
"carrots","Homalosciadium",45,13
"carrots","Chlaenosciadium",61,27
"carrots","Platysace",68,35
"carrots","Actinotus",43,18
"carrots","Apiopetalum",57,30
"carrots","Xanthosia",45,22
"carrots","Mackinlaya",28,13
"carrots","Micropleura",47,22
"carrots","Centella",74,35
"carrots","Polemanniopsis",100,55
"carrots","Steganotaenia",135,90
"carrots","Alepidea",38,19
"carrots","Arctopus",56,29
"carrots","Actinolema",35,15
"carrots","Petagnaea",61,27
"carrots","Astrantia",97,41
"carrots","Eryngium",108,46
"carrots","Sanicula",119,51
"carrots","Pleurospermopsis",33,14
"carrots","Erigenia",44,19
"carrots","Diplolophium",55,24
"carrots","Chamaesium",73,35
"carrots","Arcuatopterus",10,58
"carrots","Rivasmartinezia",37,16
"carrots","Dethawia",43,18
"carrots","Trochiscanthes",41,23
"carrots","Mutellina",34,17
"carrots","Meum",32,16
"carrots","Phlyctidocarpa",50,24
"carrots","Marlothiella",21,10
"carrots","Lichtensteinia",83,49
"carrots","Choritaenia",32,16
"daisies","Hecastocleis",100,66
"daisies","Archidasyphyllum",80,46
"daisies","Duseniella",63,33
"daisies","Huarpea",54,27
"daisies","Fulcaldea",57,31
"daisies","Arnaldoa",40,16
"daisies","Schlechtendalia",63,31
"daisies","Doniophyton",103,48
"daisies","Chuquiraga",126,59
"daisies","Dasyphyllum",42,24
"daisies","Barnadesia",39,22
"daisies","Moquinia",38,22
"daisies","Pseudostifftia",33,18
"daisies","Platycarphella",29,16
"daisies","Platycarpha",35,18
"daisies","Eremothamnus",31,8
"daisies","Cacosmia",25,8
"daisies","Oldenburgia",55,41
"daisies","Brachylaena",105,67
"daisies","Tarchonanthus",76,44
"daisies","Dicomopsis",26,14
"daisies","Gladiopappus",47,20
"daisies","Erythrocephalum",40,16
"daisies","Pleiotaxis",64,31
"daisies","Cloiselia",54,24
"daisies","Macledium",35,13
"daisies","Pasaccardoa",78,43
"daisies","Dicoma",58,31
"daisies","Famatinanthus",91,43
"daisies","Leucomeris",35,18
"daisies","Hyalis",50,18
"daisies","Ianthopappus",64,22
"daisies","Nouelia",52,28
"daisies","Stomatochaeta",28,12
"daisies","Stenopadus",60,27
"daisies","Chimantaea",35,19
"daisies","Wunderlichia",38,17
"daisies","Neblinaea",15,2
"daisies","Hyaloseris",36,14
"daisies","Gongylolepis",28,13
"daisies","Eurydochus",2,0
"daisies","Dinoseris",55,24
"grasses","Guaduella",43,14.4
"grasses","Puelia",31,5.4
"grasses","Scrotochloa",27,9.9
"grasses","Leptaspis",12,5.4
"grasses","Pharus",23,10.8
"grasses","Streptochaeta",35,15.3
"grasses","Anomochloa",47,20.7
"grasses","Brachyelytrum",50,20.7
"grasses","Phyllorachis",13,5.4
"grasses","Humbertochloa",19,8.1
"grasses","Zotovia",26,11
"grasses","Tetrarrhena",39,16.2
"grasses","Microlaena",97,41.4
"grasses","Ehrharta",49,17
"grasses","Streptogyna",44,17.1
"grasses","Sphaerocaryum",7,1.8
"grasses","Limnopoa",11,2.7
"grasses","Heteranthoecia",14,3.6
"grasses","Coelachne",21,4.5
"grasses","Hubbardia",43,10.8
"grasses","Isachne",45,11.7
"grasses","Pheidochloa",50,16.2
"grasses","Eriachne",45,17.1
"grasses","Micraira",54,22.5
"grasses","Phaenanthoecium",35,12.6
"grasses","Austroderia",86,42.3
"grasses","Chimaerochloa",72,27.9
"legumes","Latrobea",33,10
"legumes","Melanoxylon",40,9
"legumes","Stahlia",45,18
"legumes","Icuria",63,29
"legumes","Sylvichadsia",65,30
"legumes","Lysidice",69,28
"legumes","Bobgunnia",69,28
"legumes","Leptosema",54,22
"legumes","Robinia",65,28
"legumes","Verdesmum",69,31
"legumes","Dillwynia",55,23
"legumes","Barklya",54,21
"legumes","Brandzeia",36,12
"legumes","Senna",51,21
"legumes","Holocalyx",64,29
"legumes","Sphaerophysa",48,22
"legumes","Bossiaea",71,39
"legumes","Kebirita",74,35
"legumes","Uraria",75,33
"legumes","Piptadenia",61,27
"legumes","Arquita",30,8
"legumes","Poitea",68,36
"legumes","Senegalia",71,41
"legumes","Gabonius",84,40
"legumes","Periandra",24,10
"legumes","Gilbertiodendron",36,15
"legumes","Toxicopueraria",60,25
"legumes","Aganope",68,28
"legumes","Baphia",55,26
"legumes","Phyllolobium",71,26
"legumes","Storckiella",52,24
"legumes","Gagnebina",80,31
"legumes","Cracca",62,31
"legumes","Chamaecrista",74,32
"legumes","Delonix",59,25
"legumes","Almaleea",60,31
"legumes","Julbernardia",43,16
"legumes","Parochetus",65,32
"legumes","Dinizia",103,45.9
"legumes","Lysiphyllum",73,25.2
"legumes","Pseudarthria",47,18
"legumes","Antopetitia",98,49.5
"legumes","Cytisopsis",29,12
"legumes","Pediomelum",29,11
"legumes","Greuteria",22,8
"legumes","Abrus",21,7
"legumes","Wisteria",24,9
"legumes","Paracalyx",30,15
"legumes","Cyamopsis",24,9
"legumes","Peltophorum",20,6
"legumes","Podolotus",7,4.5
"legumes","Poeppigia",43,22
"legumes","Gastrolobium",42,34
"legumes","Melilotus",23,12
"legumes","Adinobotrys",72,48
"lilies","Amana",32,8
"lilies","Cardiocrinum",64,16
"lilies","Notholirion",43,16
"lilies","Gagea",86,32
"lilies","Sandersonia",58,31
"lilies","Nomocharis",116,62
"lilies","Lloydia",50,15
"lilies","Fritillaria",100,30
"lilies","Calochortus",18,2
"lilies","Erythronium",29,4
"lilies","Tricyrtis",58,8
"lilies","Clintonia",33,4.5
"lilies","Tulipa",66,9
"lilies","Medeola",57,23
"lilies","Lilium",114,46
"nightshades","Duckeodendron",155,113.4
"nightshades","Heteranthia",100,58.5
"nightshades","Melananthus",33,14
"nightshades","Schwenckia",29,12
"nightshades","Schizanthus",104,63
"nightshades","Calibrachoa",73,35.1
"nightshades","Fabiana",110,67.5
"nightshades","Leptoglossis",30,13
"nightshades","Hunzikeria",52,28
"nightshades","Bouchetia",45,23
"nightshades","Brunfelsia",36,16
"nightshades","Nierembergia",90,48.6
"nightshades","Petunia",58,30
"nightshades","Henoonia",122,72
"nightshades","Coeloneurum",26,9
"nightshades","Espadaea",55,25
"nightshades","Goetzea",99,58.5
"nightshades","Nicotiana",94,56.7
"nightshades","Symonanthus",31,11
"nightshades","Grammosolen",125,73.8
"nightshades","Duboisia",73,38.7
"nightshades","Cyphanthera",97,54.9
"nightshades","Crenidium",110,66.6
"nightshades","Anthotroche",77,43.2
"nightshades","Anthocercis",90,51
"nightshades","Plowmania",99,58
"nightshades","Salpiglossis",66,36
"nightshades","Tsoala",76,43
"nightshades","Vestia",34,17
"nightshades","Sessea",38,21
"nightshades","Cestrum",59,36
"nightshades","Metternichia",72,45
"nightshades","Streptosolen",55,33
"nightshades","Browallia",69,43
"nightshades","Reyesia",53,29
"nightshades","Pantacantha",67,38
"nightshades","Combera",56,27
"nightshades","Benthamiella",70,37
"nightshades","Trianaea",32,12
"nightshades","Schultesianthus",45,22
"nightshades","Markea",22,18
"nightshades","Dyssochroma",23,19
"nightshades","Merinthopodium",83,46.8
"nightshades","Hawkesiophyton",44,24.3
"nightshades","Jaltomata",53,25
"nightshades","Solanum",41,15
"nightshades","Cataracta",48,22
"nightshades","Capsicophysalis",73,35.1
"nightshades","Trozelia",29,15
"nightshades","Darcyanthus",19,10
"nightshades","Alkekengi",29,15
"nightshades","Calliphysalis",95,50
"nightshades","Acnistus x Iochroma",47,26
"nightshades","Physaliastrum",57,22.5
"nightshades","Nectouxia",58,25.2
"nightshades","Salpichroa",43,25
"nightshades","Eriolarynx",67,37
"nightshades","Dunalia",47,17
"nightshades","Acnistus",33,17
"nightshades","Margaranthus",31,14
"nightshades","Quincula",30,16
"nightshades","Chamaesaracha",63,35
"nightshades","Tzeltalia",34,18.9
"nightshades","Leucophysalis",41,15
"nightshades","Iochroma",84,45.9
"nightshades","Oryctes",21,13.5
"nightshades","Tubocapsicum",53,33.3
"nightshades","Aureliana",41,22
"nightshades","Withania",70,37.8
"nightshades","Vassobia",76,40.5
"roses","Chamaebatia",54,23
"roses","Dryas",46,17
"roses","Purshia",51,17
"roses","Cercocarpus",37,10
"roses","Taihangia",55,20
"roses","Sieversia",44,16
"roses","Oncostylus",41,11
"roses","Novosieversia",42,14
"roses","Erythrocoma",39,11
"roses","Coluria",39,12
"roses","Acomastylis",76,24
"roses","Waldsteinia",78,25
"roses","Fallugia",74,23
"roses","Geum",42,16
"roses","Piletophyllum",38,15
"roses","Macromeles",61,21
"roses","Wilsonaria",61,22
"roses","Karpatiosorbus",63,24
"roses","Scandosorbus",55,26
"roses","Thomsonaria",62,27
"roses","Griffitharia",63,28
"roses","Dunnaria",65,30
"roses","Alniaria",40,16
"roses","Hedlundia",71,32
"roses","Phippsiomeles",65,25
"roses","Malus x Pyrus",67,26
"roses","Lindleyella",54,18
"roses","Pourthiaea",55,19
"roses","Micromeles",57,21
"roses","x Amelasorbus",41,14
"roses","x Sorbaronia",88,38
"roses","Hesperomeles",83,32
"roses","Chamaemeles",82,32
"roses","x Crataemespilus",17,5
"roses","Torminalis",32,12
"roses","Stranvaesia",16,9
"roses","Eriolobus",20,10
"roses","Docyniopsis",17,9
"roses","Dichotomanthes",20,11
"roses","Chamaemespilus",32,12
"roses","Aronia",35,14
"roses","Docynia",34,16
"roses","Pyracantha",35,18
"roses","Rhaphiolepis",38,17
"roses","Pseudocydonia",32,12
"roses","Coleogyne",17,9
"roses","Kerria",20,11
"roses","Rhodotypos",25,13
"roses","Neviusia",32,12
"roses","Oemleria",17,8
"roses","Prinsepia",20,10
"roses","Exochorda",23,10
"roses","Pentactina",20,8
"roses","Petrophytum",25,12
"roses","Xerospiraea",34,16
"roses","Kelseya",34,17
"roses","Luetkea",37,19
"roses","Sibiraea",60,31
"roses","Spiraea",42,25
"roses","Holodiscus",44,27
"roses","Aruncus",60,31
"roses","Spiraeanthus",35,8
"roses","Sorbaria",34,8
"roses","Chamaebatiaria",34,8
"roses","Adenostoma",15,3.5
"roses","Stephanandra",14,7
"roses","Physocarpus",15,3.5
"roses","Neillia",17,6
"roses","Pygeum",49,26
"roses","Prunus",49,25
"roses","x Comagaria",49,25
"roses","Chamaecallis",49,25
"roses","Schistophyllidium",57,29
"roses","Sibbaldiopsis",30,12
"roses","Sibbaldianthe",27,9
"roses","Drymocallis",27,9
"roses","Dasiphora",71,36
"roses","Lachemilla",76,36
"roses","Comarum",43,21
"roses","Potaninia",32,14
"roses","Sibbaldia",26,14
"roses","Aphanes",41,17
"roses","Chamaerhodos",21,11
"roses","Alchemilla",42,17
"roses","Fragaria",43,21
"roses","Spenceria",56,20
"roses","Leucosidea",58,21
"roses","Hagenia",54,19
"roses","Aremonia",48,24
"roses","Agrimonia",19,8
"roses","Tetraglochin",52,25
"roses","Poteridium",62,34
"roses","Poterium",38,15
"roses","Margyricarpus",29,17
"roses","Sarcopoterium",65,34
"roses","Polylepis",54,19
"roses","Marcetella",27,10
"roses","Dendriopoterium",58,26
"roses","Cliffortia",47,20
"roses","Bencomia",54,27
"roses","Acaena",27,13
"roses","Sanguisorba",44,21
"mints","Cornutia",38,3.7
"mints","Premna",84,4.6
"mints","Gmelina",113,7
"mints","Tectona",75,5.5
"mints","Acrymia",92,4.6
"mints","Cymaria",54,2.5
"mints","Garrettia",30,1.5
"mints","Hymenopyramis",51,2.5
"mints","Petraeovitex",43,2.5
"mints","Peronema",77,5.1
"mints","Callicarpa",38,1.5
"mints","Symphorema",62,3.2
"mints","Sphenodesme",53,4.2
"mints","Congea",70,3.3
"mints","Xatardia",25,1.3
"mints","Pseudocarpidium",29,2.4
"mints","Paravitex",64,3.7
"mints","Viticipremna",58,4.8
"mints","Teijsmanniodendron",74,3.9
"mints","Vitex",35,1.5
"mints","Petitia",38,2.3
"mints","Renschia",48,2.5
"mints","Wenchengia",58,2.9
"mints","Holmskioldia",52,4
"mints","Tinnea",68,3.1
"mints","Scutellaria",57,2.8
"mints","Kinostemon",53,2.5
"mints","Clerodendranthus",53,3.1
"mints","Spartothamnella",67,3.2
"mints","Cardioteucris",56,4.1
"mints","Teucridium",73,3.2
"mints","Faradaya",69,3.8
"mints","Oncinocalyx",63,4.8
"mints","Tripora",80,3.9
"mints","Amethystea",37,2.8
"mints","Pseudocaryopteris",48,3.8
"mints","Caryopteris",76,5.8
"mints","Trichostema",121,9.4
"mints","Ajuga",151,11.5
"mints","Rubiteucris",243,18.6
"mints","Schnabelia",18,1
"mints","Teucrium",27,1.5
"mints","Hosea",44,2.4
"mints","Ovieda",89,4.9
"mints","Volkameria",177,9.8
"mints","Aegiphila",64,3.9
"mints","Kalaharia",96,5.8
"mints","Amasonia",160,9.7
"mints","Tetraclea",14,0.7
"mints","Oxera",27,3.1
"mints","Clerodendrum",49,3.3
"mints","Discretitheca",19,1.4
"mints","Glossocarya",32,4.2
"mints","Rotheca",49,3.3
"mints","Karomia",22,0.8
"mints","Vuhuangia",35,3.7
"mints","Perillula",52,2.8
